Name,Variant ID,Product ID,Variant Title,Price,SKU,Position,Inventory Policy,Compare At Price,Fulfillment Service,Inventory Management,Option1,Option2,Option3,Created At,Updated At,Taxable,Barcode,Grams,Image ID,Weight,Weight Unit,Inventory Quantity,Old Inventory Quantity,Tax Code,Requires Shipping,Quantity Rule,Price Currency,Compare At Price Currency,Quantity Price Breaks,URL,Meta Title,Meta Description,Product Description
Jackery 2-year Extended Warranty Fee for Explorer 5000 Plus,41327304605783,7312240410711,Default Title,350.00,13-6000-000005,1,deny,,fbd,shopify,Default Title,,,2024-10-23T05:48:58-07:00,2025-06-06T03:28:09-07:00,True,,454,,1.0,lb,500,500,,False,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/jackery-2-year-extended-warranty-fee-explorer-5000-plus,"
      Jackery 2-year Extended Warranty Fee for Explorer 5000 Plus
",The 2-Year Extended Warranty applies exclusively to Explorer 5000 Plus purchased through Jackery's official authorized channels in the United States. Activation Process: 1. Log in the Jackery Official Website and visit the activation portal:  https://www.jackery.com/pages/activate-extended-warranty2. Submit the require,"The 2-Year Extended Warranty applies exclusively to Explorer 5000 Plus purchased through Jackery's official authorized channels in the United States.
Activation Process: 1. Log in the Jackery Official Website and visit the activation portal:  https://www.jackery.com/pages/activate-extended-warranty2. Submit the required information through the online activation form. 3. Await email confirmation of submission (within 5 business days)."
Jackery 2-year Extended Warranty Fee for Smart Transfer Switch,41327303196759,7312239525975,Default Title,230.00,13-6000-000004,1,deny,,fbd,shopify,Default Title,,,2024-10-23T05:47:15-07:00,2025-06-06T03:30:59-07:00,True,,454,,1.0,lb,500,500,,False,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/jackery-2-year-extended-warranty-fee-smart-transfer-switch,"
      Jackery 2-year Extended Warranty Fee for Smart Transfer Switch
","The 2-Year Extended Warranty applies exclusively to Smart Transfer Switch purchased through Jackery's official authorized channels in the United States. Smart Transfer Switch Extended Warranty Requirements: To enable customers to take advantage of the 2-Year Extended Warranty, the STS must be installed by a Jackery-rec","The 2-Year Extended Warranty applies exclusively to Smart Transfer Switch purchased through Jackery's official authorized channels in the United States.
Smart Transfer Switch Extended Warranty Requirements: To enable customers to take advantage of the 2-Year Extended Warranty, the STS must be installed by a Jackery-recommended certified electrician or a customer-selected certified electrician.
Activation Process: 1. Log in the Jackery Official Website and visit the activation portal:  https://www.jackery.com/pages/activate-extended-warranty2. Submit the required information through the online activation form. 3. Await email confirmation of submission (within 5 business days)."
Jackery 2-year Extended Warranty Fee for Battery Pack 5000 Plus,41327309226071,7312242147415,Default Title,250.00,13-6000-000006,1,deny,,fbd,shopify,Default Title,,,2024-10-23T05:51:35-07:00,2025-06-06T03:31:00-07:00,True,,454,,1.0,lb,498,498,,False,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/jackery-2-year-extended-warranty-fee-battery-pack-5000-plus,"
      Jackery 2-year Extended Warranty Fee for Battery Pack 5000 Plus
",The 2-Year Extended Warranty applies exclusively to Battery Pack 5000 Plus purchased through Jackery's official authorized channels in the United States. Activation Process: 1. Log in the Jackery Official Website and visit the activation portal:  https://www.jackery.com/pages/activate-extended-warranty2. Submit the req,"The 2-Year Extended Warranty applies exclusively to Battery Pack 5000 Plus purchased through Jackery's official authorized channels in the United States.
Activation Process: 1. Log in the Jackery Official Website and visit the activation portal:  https://www.jackery.com/pages/activate-extended-warranty2. Submit the required information through the online activation form. 3. Await email confirmation of submission (within 5 business days)."
Jackery Explorer 5000 Plus (10kWh),41735550992471,7423678906455,Default Title,5999.00,60-505000-AU00012,1,deny,,fbd,shopify,Default Title,,,2025-05-26T19:04:29-07:00,2025-06-06T03:31:02-07:00,True,810182240114,0,,0.0,lb,117,117,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/jackery-explorer-5000-plus-10kwh,"
      Jackery Explorer 5000 Plus Double Kit (10kWh)
","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity &amp; 7200-14400W output supports multiple devices for up to 30 day Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries Always Power Your Essential ","
Get up to 30% in Tax Credit >
No More Spoiled Food or Wet Clothes Even During Hurricanes, Thunderstorms, and Blackouts: 5-60kWh capacity & 7200-14400W output supports multiple devices for up to 30 day

Your Fridge Stays Cold, Your Zoom Call Stays On: 0ms Power Transition, Zero Worries
Always Power Your Essential Rooms: Smart Transfer Switch Ensures Uninterrupted Power Where It Matters Most, Learn More >

From Indoors to Outdoors: 120V/240V Dual Voltage Enhances Compatibility, Supporting More Loads and More Scenarios
Fully Charged in 1.7 Hours: 4000W Solar Input, 5 Ways to Charge, Never Run Out of Power


Learn more about Jackery Explorer 5000 Plus>


"
Solar Generator 2000 v2（100 Mini）,41723679834199,7419869069399,Explorer 2000 v2 + SolarSaga 100 Mini x 2,2099.00,21-0009-000169,1,deny,,fbd,shopify,Explorer 2000 v2 + SolarSaga 100 Mini x 2,,,2025-05-21T23:07:57-07:00,2025-06-06T03:31:04-07:00,True,,0,33268488667223,0.0,lb,50,50,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/jackery-solar-generator-2000-v2-100-mini,"
      Jackery Solar Generator 2000 v2-100 mini | 2200 Watts Home Backup Power
","The Jackery Solar Generator 2000 V2 is a 2200-watt solar generator with instant UPS backup, designed for reliable home backup power. It keeps essential appliances like your refrigerator and internet running during sudden outages, ensuring your home stays functional and your family connected.","
2042Wh capacity and 2200W output, powering over 1 day of emergency needs.
The smallest, lightest home backup power: 40% smaller, 34% lighter at just 17.9kg.
1.7-hour Emergency Super Charge.
Jackery’s exclusive CTB technology maximizes both space efficiency and safety through its compact honeycomb design.
Quiet, eco-friendly energy with next-gen LiFePO4 battery lasting over 10 years.
ChargeShield 2.0 for advanced protection and efficient charging.
UPS ≤20ms for seamless power backup for computers, network devices, refrigerators, lighting, microwaves, and more.
Smart App Control for easy management and monitoring.


3-year warranty + 2-year extended warranty （applied automatically if purchased from our official website）

"
Explorer 3000 v2 Portable Power Station,41723779874903,7419881521239,Jackery Explorer 3000 v2 Portable Power Station,2499.00,21-0001-000293,1,deny,,fbd,shopify,Jackery Explorer 3000 v2 Portable Power Station,,,2025-05-21T23:43:48-07:00,2025-06-06T03:31:05-07:00,True,,0,33187511140439,0.0,lb,50,50,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/explorer-3000-v2-portable-power-station,"
      Jackery Explorer 3000 v2 | UPS Battery Backup for Home
","Power your home with the compact Jackery HomePower 3000 - 3072Wh capacity, 3600W output, fast charging, solar-ready, seamless UPS, and multiple ports for essential appliances indoors or outdoors.","

No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup .


Power All Your Essentials, Indoors and Out: Multiple port options (AC/DC) to support fridges, coffee machines, Starlink, fans, lights, smartphones, RVs, and more.


Fully Recharged in as Fast as 1.7 Hours: 5 versatile recharging methods (AC, solar, car, AC+DC hybrid, gas) give you peace of mind and rapid readiness.


Compact & Always Ready: World’s smallest 3kWh LFP generator with ZeroDrain™ tech—95% power retention after 365 days. Plug and play, no setup hassle.


Cut Bills, Boost Efficiency: Maximize savings with off-peak charging and prioritized solar usage. Generate up to 3,500kWh of clean energy over 5 years with two Jackery SolarSaga 200W panels.


Power Your Home: Add a manual transfer switch for a seamless connection to your home's circuit, ensuring power where you need it most.


"
Solar Generator HomePower 3000 Series,41710381727831,7414990209111,HomePower 3000 + SolarSaga 200W x 2,2099.00,60-300020-US00080,1,deny,2999.00,fbd,shopify,HomePower 3000 + SolarSaga 200W x 2,,,2025-05-13T22:53:04-07:00,2025-06-06T03:31:07-07:00,True,810182241074,0,33187511042135,0.0,lb,498,498,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,USD,[],https://www.jackery.com/products/solar-generator-homepower-3000-series,"
      Solar Generator HomePower 3000 Series

        – Jackery","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup . Power All Your Essentials, Indoors and ","
Get up to 30% in Tax Credit >

No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup .


Power All Your Essentials, Indoors and Out: Multiple port options (AC/DC) to support fridges, coffee machines, Starlink, fans, lights, smartphones, RVs, and more.


Fully Recharged in as Fast as 1.7 Hours: 5 versatile recharging methods (AC, solar, car, AC+DC hybrid, gas) give you peace of mind and rapid readiness.


Compact & Always Ready: World’s smallest 3kWh LFP generator with ZeroDrain™ tech—95% power retention after 365 days. Plug and play, no setup hassle.


Cut Bills, Boost Efficiency: Maximize savings with off-peak charging and prioritized solar usage. Generate up to 3,500kWh of clean energy over 5 years with two Jackery SolarSaga 200W panels.


Power Your Home: Add a manual transfer switch for a seamless connection to your home's circuit, ensuring power where you need it most.
Learn more about Jackery HomePower 3000>

"
Solar Generator HomePower 3000 Series,41710381760599,7414990209111,HomePower 3000 + SolarSaga 500 X,2499.00,60-305050-US00079,2,deny,3349.00,fbd,shopify,HomePower 3000 + SolarSaga 500 X,,,2025-05-13T22:53:04-07:00,2025-06-06T03:31:07-07:00,True,810182241067,0,33187511205975,0.0,lb,500,500,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,USD,[],https://www.jackery.com/products/solar-generator-homepower-3000-series,"
      Solar Generator HomePower 3000 Series

        – Jackery","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup . Power All Your Essentials, Indoors and ","
Get up to 30% in Tax Credit >

No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup .


Power All Your Essentials, Indoors and Out: Multiple port options (AC/DC) to support fridges, coffee machines, Starlink, fans, lights, smartphones, RVs, and more.


Fully Recharged in as Fast as 1.7 Hours: 5 versatile recharging methods (AC, solar, car, AC+DC hybrid, gas) give you peace of mind and rapid readiness.


Compact & Always Ready: World’s smallest 3kWh LFP generator with ZeroDrain™ tech—95% power retention after 365 days. Plug and play, no setup hassle.


Cut Bills, Boost Efficiency: Maximize savings with off-peak charging and prioritized solar usage. Generate up to 3,500kWh of clean energy over 5 years with two Jackery SolarSaga 200W panels.


Power Your Home: Add a manual transfer switch for a seamless connection to your home's circuit, ensuring power where you need it most.
Learn more about Jackery HomePower 3000>

"
Solar Generator HomePower 3000 Series,41710381793367,7414990209111,HomePower 3000 + HomePower 3000 + SolarSaga 500 X,5499.00,60-300050-US00089,3,deny,,fbd,shopify,HomePower 3000 + HomePower 3000 + SolarSaga 500 X,,,2025-05-13T22:53:04-07:00,2025-06-06T03:31:07-07:00,True,810182241173,0,33295346597975,0.0,lb,500,500,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,,[],https://www.jackery.com/products/solar-generator-homepower-3000-series,"
      Solar Generator HomePower 3000 Series

        – Jackery","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup . Power All Your Essentials, Indoors and ","
Get up to 30% in Tax Credit >

No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup .


Power All Your Essentials, Indoors and Out: Multiple port options (AC/DC) to support fridges, coffee machines, Starlink, fans, lights, smartphones, RVs, and more.


Fully Recharged in as Fast as 1.7 Hours: 5 versatile recharging methods (AC, solar, car, AC+DC hybrid, gas) give you peace of mind and rapid readiness.


Compact & Always Ready: World’s smallest 3kWh LFP generator with ZeroDrain™ tech—95% power retention after 365 days. Plug and play, no setup hassle.


Cut Bills, Boost Efficiency: Maximize savings with off-peak charging and prioritized solar usage. Generate up to 3,500kWh of clean energy over 5 years with two Jackery SolarSaga 200W panels.


Power Your Home: Add a manual transfer switch for a seamless connection to your home's circuit, ensuring power where you need it most.
Learn more about Jackery HomePower 3000>

"
HomePower 3000 Series,41710382284887,7414990504023,HomePower 3000 + SolarSaga 200W x 2,2099.00,60-300020-US00080,1,deny,2999.00,fbd,shopify,HomePower 3000 + SolarSaga 200W x 2,,,2025-05-13T22:56:13-07:00,2025-06-06T03:31:08-07:00,True,810182241074,0,33187511042135,0.0,lb,188,188,,True,"{'min': 1, 'max': None, 'increment': 1}",USD,USD,[],https://www.jackery.com/products/jackery-homepower-3000-series,"
      HomePower 3000 Series

        – Jackery","Get up to 30% in Tax Credit &gt; No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup . Power All Your Essentials, Indoors and ","
Get up to 30% in Tax Credit >

No More Spoiled Food or Missed Moments During Outages: With 3072Wh capacity and 3600W output (7200W surge), it powers fridges, fans, WIFI routers, and lights—keeping your home running for up to 15 hours. Seamless ≤20ms UPS ensures instant backup .


Power All Your Essentials, Indoors and Out: Multiple port options (AC/DC) to support fridges, coffee machines, Starlink, fans, lights, smartphones, RVs, and more.


Fully Recharged in as Fast as 1.7 Hours: 5 versatile recharging methods (AC, solar, car, AC+DC hybrid, gas) give you peace of mind and rapid readiness.


Compact & Always Ready: World’s smallest 3kWh LFP generator with ZeroDrain™ tech—95% power retention after 365 days. Plug and play, no setup hassle.


Cut Bills, Boost Efficiency: Maximize savings with off-peak charging and prioritized solar usage. Generate up to 3,500kWh of clean energy over 5 years with two Jackery SolarSaga 200W panels.


Power Your Home: Add a manual transfer switch for a seamless connection to your home's circuit, ensuring power where you need it most.
Learn more about Jackery HomePower 3000>

"
